fatality,injury,latitude,longitude,permit_count,unique_job_types,unique_work_types,residential_any,temperature,rainfall,wind_speed,weighted_fatality_index,is_repeat_site,day_incident_pct,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,check2 description_Material Failure (Fell),check2 description_Mechanical Construction Equipment,check2 description_Other Construction Related,check2 description_Scaffold/Shoring Installations,check2 description_Struck By,check2 description_Worker Fell,record type description_Incident,record type description_Not DOB Jurisdiction,record type description_Notification
0,0,40.689238,-73.981765,3,3,3,1,18,1,12,0,0,17,1,0,0,0,0,0,1,0,0,0,1,0,0
1,2,40.63278517330147,-74.11313529209056,21,7,4,0,15,24,11,2,1,17,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,40.689356,-73.978567,27,27,27,1,18,0,14,0,1,17,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,40.722869,-73.855793,4,4,4,0,27,0,12,0,0,18,0,0,1,0,0,0,1,0,0,0,1,0,0
1,2,40.786907154397454,-74.1858308799045,32,4,5,0,21,0,36,2,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,40.64691830775367,-73.81303632139209,40,5,6,1,9,1,23,2,1,18,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.753979,-73.979997,40,40,40,0,11,0,27,0,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,40.722869,-73.855793,1,1,1,1,22,0,11,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,40.772885,-73.979865,39,39,39,1,3,0,22,0,1,17,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.678428,-73.98975,8,8,8,1,27,0,32,0,1,18,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,40.8894467412644,-73.80712872902637,8,4,6,0,11,0,16,2,1,18,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.696176,-73.916696,3,3,3,1,7,0,22,0,1,19,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.689883,-73.979793,15,15,15,0,21,0,19,0,1,18,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,40.732624,-73.996092,14,14,14,1,-4,0,29,0,1,19,0,1,0,0,0,0,0,1,0,0,1,0,0
0,2,40.714055,-74.011612,45,45,45,0,15,6,26,1,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,40.665854,-73.988173,1,1,1,0,13,0,20,0,0,17,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,40.689356,-73.978567,27,27,27,1,15,5,23,0,1,17,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,40.867472,-73.895959,21,21,21,1,22,0,15,0,0,19,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,40.639345,-73.987612,1,1,1,0,7,0,18,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,40.765045,-73.996552,14,14,14,0,17,0,17,0,1,17,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.822396,-73.916801,6,6,6,1,16,4,25,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.735687,-73.859814,4,4,4,0,22,0,27,0,1,18,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.820236,-73.929612,42,42,42,1,2,0,20,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,40.863599,-73.916537,6,6,6,1,22,0,22,0,1,18,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,40.757809,-73.861717,1,1,1,0,20,0,16,0,0,17,0,0,1,0,0,0,1,0,0,0,1,0,0
1,2,40.61057217543124,-73.78615142382598,34,4,5,1,18,2,21,2,1,17,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,40.723301,-73.960597,2,2,2,0,-2,3,19,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0
0,1,40.733824,-73.97734,29,29,29,1,-6,0,18,0,1,18,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,40.692552,-74.016281,14,14,14,1,15,6,26,0,1,18,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.71299,-73.994939,4,4,4,1,7,0,34,0,1,18,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,40.7477930416181,-74.10497450857747,11,3,1,1,21,0,25,1,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.762495,-73.975193,147,147,147,0,13,0,24,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0
1,2,40.59072941415254,-74.10865929850833,24,2,6,0,13,6,11,2,1,18,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1,40.709639,-74.008325,45,45,45,1,16,0,14,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,40.719298,-73.957092,1,1,1,1,22,0,17,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,40.861175,-73.908825,4,4,4,0,24,16,44,0,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.708974,-73.941524,1,1,1,1,18,11,15,0,1,18,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,40.697107,-73.805657,5,5,5,0,8,0,20,0,0,18,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,40.75931229190797,-73.99715488687123,39,9,5,0,16,0,20,1,1,18,0,1,0,0,0,0,0,0,1,0,0,0,0
