bin,incident date,record type description,check2 description,fatality,injury,borough,postcode,latitude,longitude,community board,council district,bbl,census tract (2020),neighborhood tabulation area (nta) (2020),permit_count,unique_job_types,unique_work_types,residential_any,temperature,rainfall,wind_speed
3000352.0,6/11/2024,Incident,Other Construction Related,0,0,Brooklyn,11201.0,40.689238,-73.981765,302.0,33.0,3001490014.0,33.0,BK0203,3.0,3.0,3.0,1.0,18.4,1.8,12.7
3424473.0,10/29/2024,Accident,Material Failure (Fell),1,2,Bronx,10001.0,40.63278517330147,-74.11313529209056,306.0,35.0,4101510024.0,104.0,BK0202,21.0,7.0,4.0,0.0,15.776277911878488,24.46682518654334,11.031541996087032
3429595.0,5/27/2025,Accident,Worker Fell,0,1,Brooklyn,11217.0,40.689356,-73.978567,302.0,35.0,3020950026.0,33.0,BK0203,27.0,27.0,27.0,1.0,18.6,0.0,14.5
4075030.0,8/15/2025,Incident,Other Construction Related,0,0,Queens,11375.0,40.722869,-73.855793,406.0,29.0,4031660129.0,711.0,QN0602,4.0,4.0,4.0,0.0,27.1,0.0,12.0
3327107.0,4/2/2025,Accident,Struck By,1,2,Bronx,11201.0,40.786907154397454,-74.1858308799045,414.0,9.0,3065530069.0,251.0,BK0504,32.0,4.0,5.0,0.0,21.46378089755455,0.6806630413524741,36.59277240682664
3429094.0,7/5/2024,Accident,Other Construction Related,1,2,Manhattan,11222.0,40.64691830775367,-73.81303632139209,105.0,49.0,2031420048.0,5502.0,BK0104,40.0,5.0,6.0,1.0,9.359559297277363,1.799566900277388,23.512441326924804
1035347.0,10/31/2025,Accident,Worker Fell,0,1,Manhattan,10017.0,40.753979,-73.979997,105.0,4.0,1012770008.0,94.0,MN0502,40.0,40.0,40.0,0.0,11.9,0.0,27.4
4075029.0,8/3/2025,Incident,Other Construction Related,0,0,Queens,11375.0,40.722869,-73.855793,406.0,29.0,4031660129.0,711.0,QN0602,1.0,1.0,1.0,1.0,22.5,0.0,11.0
1028168.0,2/4/2025,Accident,Other Construction Related,0,1,Manhattan,10023.0,40.772885,-73.979865,107.0,6.0,1011187503.0,149.0,MN0701,39.0,39.0,39.0,1.0,3.5,0.0,22.7
3330263.0,6/26/2024,Accident,Other Construction Related,0,1,Brooklyn,11231.0,40.678428,-73.98975,306.0,39.0,3004450011.0,75.0,BK0601,8.0,8.0,8.0,1.0,27.5,0.3,32.4
1091738.0,6/7/2024,Accident,Worker Fell,1,2,Queens,11375.0,40.8894467412644,-73.80712872902637,106.0,8.0,1000890012.0,251.0,BK0702,8.0,4.0,6.0,0.0,11.639317853665956,0.11222624262005568,16.054122494494006
3429314.0,4/25/2024,Accident,Other Construction Related,0,1,Brooklyn,11221.0,40.696176,-73.916696,304.0,37.0,,433.0,BK0402,3.0,3.0,3.0,1.0,7.4,0.0,22.5
3429317.0,4/30/2025,Accident,Material Failure (Fell),0,1,Brooklyn,11201.0,40.689883,-73.979793,302.0,35.0,,3101.0,BK0203,15.0,15.0,15.0,0.0,21.3,0.0,19.8
1009430.0,1/9/2025,Incident,Scaffold/Shoring Installations,0,0,Manhattan,10011.0,40.732624,-73.996092,102.0,2.0,1005720041.0,63.0,MN0202,14.0,14.0,14.0,1.0,-4.2,0.0,29.0
1001416.0,5/15/2024,Accident,Mechanical Construction Equipment,0,2,Manhattan,10007.0,40.714055,-74.011612,101.0,1.0,1001280002.0,21.0,MN0102,45.0,45.0,45.0,0.0,15.7,6.8,26.0
3023696.0,4/16/2024,Incident,Mechanical Construction Equipment,0,0,Brooklyn,11215.0,40.665854,-73.988173,306.0,39.0,3010420012.0,14101.0,BK0602,1.0,1.0,1.0,0.0,13.9,0.0,20.1
3429595.0,5/14/2024,Incident,Mechanical Construction Equipment,0,0,Brooklyn,11217.0,40.689356,-73.978567,302.0,35.0,3020950026.0,33.0,BK0203,27.0,27.0,27.0,1.0,15.4,5.0,23.6
2129483.0,9/19/2024,Incident,Mechanical Construction Equipment,0,0,Bronx,10468.0,40.867472,-73.895959,207.0,14.0,2033160011.0,40304.0,BX0702,21.0,21.0,21.0,1.0,22.4,0.0,15.2
3135716.0,2/11/2024,Incident,Other Construction Related,0,0,Brooklyn,11219.0,40.639345,-73.987612,312.0,39.0,3055940003.0,232.0,BK1202,1.0,1.0,1.0,0.0,7.3,0.0,18.4
1091789.0,9/3/2024,Accident,Other Construction Related,0,1,Manhattan,10036.0,40.765045,-73.996552,104.0,3.0,1010950011.0,12902.0,MN0402,14.0,14.0,14.0,0.0,17.7,0.0,17.2
2130439.0,10/20/2025,Accident,Worker Fell,0,1,Bronx,10451.0,40.822396,-73.916801,201.0,17.0,2024040001.0,69.0,BX0102,6.0,6.0,6.0,1.0,16.2,4.5,25.0
4047330.0,5/8/2024,Accident,Worker Fell,0,1,Queens,11368.0,40.735687,-73.859814,404.0,21.0,4019180090.0,455.0,QN0402,4.0,4.0,4.0,0.0,22.6,0.1,27.0
2805203.0,2/1/2024,Accident,Mechanical Construction Equipment,0,1,Bronx,10451.0,40.820236,-73.929612,204.0,8.0,,6301.0,BX0401,42.0,42.0,42.0,1.0,2.2,0.0,20.9
1089192.0,7/3/2024,Accident,Worker Fell,0,1,Manhattan,10034.0,40.863599,-73.916537,112.0,10.0,1021880001.0,299.0,MN1203,6.0,6.0,6.0,1.0,22.1,0.0,22.5
